id,comment,label
train_000034,"shop giao sai màu đặt màu xanh da trời shop giao màu nõn chuối đặc biệt sản phẩm đã sai màu còn bị vỡ phần nắp và chốt không sử dụng được chất shop không trả lời đến lúc khách nhấn hoàn hàng mới trả lời sơ sài và không đồng ý hoàn rất thất vọng về cách làm việc của shop may mà shopee lấy lại công bằng và hoàn tiền
","1
"
train_000035,"không thấy đèn sáng
","1
"
train_000036,"so với giá thì chất lượng tuyệt vời capo khá chắc chắn và đẹp
","0
"
train_000037,"không cầm pin không sử dụng được split chất lượng sản phẩm rất kém
","1
"
train_000038,"những nước phát triển hàng trăm năm cũng không ai làm tầng ngầm dưới đường cao tốc cả xe điện ngầm ra ngoại ô cũng thành nổi để tiết kiệm chi phí
","1
"
train_000039,"shop phục vụ rất tốt split thời gian giao hàng rất nhanh
","0
"
train_000040,"sản phẩm tốt hỗ trợ khách hàng nhiệt tình
","0
"
train_000041,"giày đẹp mang êm và vừa chân lắm nha shop
","0
"
train_000042,"chất liệu và kiểu dáng thì được nhưng quần hơi ngắn
","0
"
train_000043,"hàng bị lỗi nhiều quá màn hình cháy phim bị bỏng
","1
"
train_000044,"chất lượng sản phẩm tuyệt vời thời gian giao hàng rất nhanh ngon sẽ ủng hộ shop dài dài
","0
"
train_000045,"chưa dùng nhưng nghe bạn m dùng rồi facebook chất lượng khá tốt serum thơm mùu bưởi có 1 góp ý là shop nên thấy lọ đựng sáng loại khác vì bọn m mua nhiều lần thấy hầu hết các lọ vòi xịt đều không ổn
","0
"
train_000046,"uống rất ngon split giao hàng nhanh split chất lượng sản phẩm tuyệt vời split
","0
"
train_000047,"shop bảo làm theo yêu cầu theo yêu cầu là phải có cao su chống trượt mà không theo yêu cầu thôi nhịn đắng cục tức vậy các bạn mua nên chú ý sẵn không lại ngậm cục tức như mình đi bị rơi mấy lần lại lôi kê tay cũ ra xài
","1
"
train_000048,"rẻ lầm chất lượng lém
","0
"
train_000049,"huỷ trước khi shop giao cho ship để đổi màu mà shop không nhận đơn huỷ vẫn cố giao
","1
"
train_000050,"đóng gói sản phẩm rất kémtư vấn không nhiệt tình
","1
"
train_000051,"sản phẩm tốt ưng ý
","0
"
train_000052,"em xây đá mà bị gãy không xay được ạ
","0
"
train_000053,"sản phẩm rất đẹp y hình và chất lượng rất tuyệt vời mình mua một lúc 5 đôi luôn mình sẽ ủng hộ shop dài dài
","0
"
train_000054,"sản phẩm không an toàn quá nguy hiểm cho người sử dụng không đáng để mua sp này quá sai lầm khi mua
","1
"
train_000055,"thời gian giao hàng lâu đặt mũ len mèo màu ghi xám lại giao màu vàng khẩu trang xô mỏng tangk biết có phải do giá sale không mà chất lượng chán thế
","1
"
train_000056,"chất lượng sản phẩm tuyệt vời split hơi cũ tí nhưng mượt lắm thanks shop
","0
"
train_000057,"sản phẩm không như mình mong đợik cài được đồ chơi vàoghế hơi bất tiện khi sử dụng
","0
"
train_000058,"hôm nay tình cờ đọc được bài viết của bạn mình cảm thấy rất vui
","1
"
train_000059,"đóng gói sản phẩm rất chắc chắn sản phẩm rất dày dặn thời gian giao hàng rất nhanh
","0
"
train_000060,"áo với giày siêu yêu ạ
","0
"
train_000061,"mang đi công tác rất tiện lợi dùng rất mượt không lo bị trầy xước
","0
"
train_000062,"chất lượng quá kém giao hàng không đúng mẫu khuyên mọi người không nên mua hàng của shop
","1
"
train_000063,"đặt lần 2 rồi mà giao hàng lâu quá vậy
","1
"
train_000064,"khăn dày đẹp
","0
"
train_000065,"đặt tất bé giao tất người lớn giao lộn hỏi không trả lời
","1
"
train_000066,"mình thoa vào ngọn tóc thấy tóc bị rít nên chỉ thoa vào phần chân mùi thơm
","1
"
train_000067,"giao hàng rất nhanh 3 3 gói hàng siêu kĩ luôn split son thơm mùi sữa cacao ghiền luôn á 3333 vỏ son nhìn cưng ghê màu son siêu đẹp chất son rất lì như son kem nên dưỡng kĩ môi với tẩy tbc mới đánh xinh được
","0
"
train_000068,"đánh 1 vì không có 0 đặt 3 gói monny l44 tt thẻ ở thành phố hcm nhưng 1 tuần mới nhận được gói hàng bằng 1 túi nilông do người nhà nhận dùm khi mình kiểm tra thì thấy có 1 gói nên yc hoàn tiền và yc gọi đt yc shop giao 2 gói thiếu shop hứa và đợi đến ngày cuối cùng gửi trả hàng thì không thấy đâu
","1
"
train_000069,"thời gian giao hàng rất nhanh shop phục vụ quá quá tệ hàng bị hư hại mà hong lời giải quyết người khác đã thế mà người kia cũng vậy hồng chu đáo cần xem xét lại khi mẫu hàng shop này nha các bạn
","0
"
train_000070,"đẹp thích hết
","0
"
train_000071,"kem dùng ổn mỗi tội hơi tối đó với da mình
","0
"
train_000072,"đóng gói sản phẩm rất đẹp và chắc chắn chất lượng sản phẩm tốt
","0
"
train_000073,"good value for money good value for money fast delivery excellent service by seller
","0
"
train_000074,"chất lượng sản phẩm tốt đóng gói sản phẩm rất cẩn thận và chắc chắn thời gian giao hàng rất nhanh
","0
"
train_000075,"chị chủ tư vấn rất nhiệt tình hình dáng và chất lượng sản phẩm tuyệt vời
","0
"
train_000076,"shop đăng ảnh một đằng sản phẩm một lẻo bán cáp thì úp hình cái cáp thôi chứ up cả cục sạc gây nhầm lẫn cho khách hàng là combo cáp dây sạc tôi mua liền 2 cái lúc nhận hàng mới ngớ người ra bị mua đắt chất lượng sản phẩm chưa rõ
","1
"
train_000077,"chất lượng sản phẩm tuyệt vời shop tư vấn nhiệt tình ạ 3 sẽ ủng hộ shop dài dài
","0
"
train_000078,"poor delivery speed poor product quality
","1
"
train_000079,"đúng là tiền nào của đó không ngon mùi kì kì không thơm như lạp xưởng bình thường thất vọng vô cùng
","0
"
train_000080,"chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắncám ơn shop đã tặng quà sẽ ủng hộ tiếp
","0
"
train_000081,"giày ok lắm shop ship hàng nhanh nữa
","0
"
train_000082,"chất lượng sản phẩm tuyệt vờirất ok
","0
"
train_000083,"giày chắc chắn đế hơi bẩn tí nhưng chắc sẽ lâu được giao hàng nhanh
","0
"
train_000084,"hàng giao thiếu kêu gửi bù cho mà cả tháng chưa thấy gửi nhắn tin không trả lời
","0
"
train_000085,"shop hết hàng nhưng không báo mình đặt 1 cặp thế mà gởi chỉ 1 ốp kèm theo tiền ốp kja thanh toán mở hàng ra xem thì chỉ có 1 ốp và số tiền đã thanh toán xài cặp thế giờ có 1 ốp thì sao đây mình chỉ góp ý vậy thôi
","1
"
train_000086,"giao không đúng đồ tôi đã bị lừa
","0
"
train_000087,"hk giống mẩu gì cả đã vậy bị lỗi nữa
","1
"
train_000088,"tương đối hài lòng giày chắc chắn êm nhưng đường may chỉ thừa còn nói chung ok với giá này thanks shop nha
","0
"
train_000089,"dép xinh chủ shop rep tn rất nhiệt tình chúc shop buôn may bán đắt ạ
","0
"
train_000090,"mua 2đ có 2 lỗ xỏ dây ib shop kh trả lời giày rộng mn cân nhắc trc khi mua
","1
"
train_000091,"tốt thời gian giao hàng nhanh
","0
"
train_000092,"nên mua nha mọi người
","0
"
train_000093,"thấy ghi được tặng kèm tã quầnđến khi nhận hàng thì không thấyhỏi shop thì nói không có
","1
"
train_000094,"shop phục vụ rất kém đã phải nhắn tin hỏi cẩn thận là còn không shop nói còn mà gửi màu sai
","1
"
train_000095,"shop phục vụ rất tốt sản phẩm đúng với thông tin đăng tải
","0
"
train_000096,"đặt combo mà shop chỉ giao bánh gạo và sốt không thấy phô mai và chả cá đâucó trả lại tiền nhưng mua combo để có đầy đủ vâyh mà thiếu chả báo gì ib thì chưa thấy trả lời shop phục vụ rất kém
","1
"
train_000097,"shop này uy tín này hàng đã đẹp mà còn đầy đủ hộp pin tặng thêm đeo đồng bọn nó hỏi mua mấy triệu he he chắc nhập hàng của shop về bán lại quá
","0
"
train_000098,"chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn hàng giao đúng mẫu chọn chất vải đẹp
","0
"
train_000099,"sản phẩm không như quảng cáo là 9058 liên hệ theo số đt của shop trên vỏ hộp gửi thì thấy tổng đài báo số đt không cóhãi vãi
","1
"
train_000100,"chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn giao hàng siu nhanh chỉ có 1 điểm trừ duy nhất là đậu phộng không được cậy cho lắm
","0
"
train_000101,"chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn thời gian giao hàng rất nhanh lại còn được thêm quà tặng kèm shop phục vụ rất tốt
","0
"
train_000102,"ngọt wá cây wá ướt wá tạm được đúng với giá tiền
","1
"
train_000103,"chưa xài nhưng shop nhiệt tình giao hàng nhanh đóng gói đẹp nên cho 5
","0
"
train_000104,"mũi khoan xài mẫu lúc quá
","1
"
train_000105,"trước mắt dùng tốt
","0
"
train_000106,"sản phẩm tốt mẫu mã đẹp chất lượng sản phẩm tuyệt vời
","0
"
train_000107,"sản phẩm kém chất lượng độ sáng yếu pin không cầm sáng hoài không tắt công suất 15w thua bóng 9w nữa hàng kém chất lượng
","1
"
train_000108,"sản phẩm tốt xài rất ưng ý
","0
"
train_000109,"đóng gói sản phẩm rất đẹp và chắc chắn split tuy nhiên sản phẩm không được như mong đợi của mình lắm split thời gian giao hàng rất nhanh
","0
"
train_000110,"hạt giống không nảy mầm
","1
"
train_000111,"chất lượng sản phẩm tuyệt vời shop phục vụ rất tốt rất đáng tiền thời gian giao hàng rất nhanh split shop có tâm máy dùng thích
","0
"
train_000112,"rẻ hơn khi mua siêu thị này chất lượng sản phẩm tuyệt vời thời gian giao hàng rất nhanh
","0
"
train_000113,"sp ok làm ăn uy tín gói hàng cẩn thận giao hàng nhanh
","0
"
train_000114,"chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn shop phục vụ rất tốt rất đáng tiền thời gian giao hàng rất nhanh ns chung sp bên shop giá mềm hàng đẹp em sẽ ủng hộ shop nhiều hơn
","0
"
train_000115,"toàn hàng fake mask rẻ tiền split bán hàng có tâm một chút đi
","1
"
train_000116,"hàng không đúng chất lượng
","1
"
train_000117,"chất lượng sản phẩm rất kémthô
","1
"
train_000118,"chất lượng sản phẩm tuyệt vời split giao hàng báo nhanh nhé dù ở thành phố hồ chí minh shop ngoài đà nẵng nhưng chỉ mất 2 ngày kể từ lúc đặt split chúc shop mua may bán đắt
","0
"
train_000119,"sản phẩm tuyệt vời giày ray đẹp cho 5sao luôn nha shop
","0
"
train_000120,"mua 2 cục lắp vào không có tính hiệu đều không dùng được
","1
"
train_000121,"chất lượng sản phẩm rất kém mua 3 đôi không vừa 1 đôi mà kêu size chuẩn
","1
"
train_000122,"chất lượng sản phẩm kém lưới bọc quạt nhỏ wa không dùng được
","1
"
train_000123,"giày đẹp quá thể ưng lắm lắm sẽ ủng hộ shop dài dài chất đẹp còn hơn cả ảnh nữa yêu yêu
","0
"
train_000124,"shop phục vụ rất tốt thời gian giao hàng rất nhanhchất lượng chưa dùng nên chưa biết hiệu quả không
","0
"
train_000125,"đóng gói sản phẩm rất đẹp và chắc chắn chúc shop đắt khách nha
","0
"
train_000126,"đồng hồ đẹp lắm chúc shop bán đắt nhé
","0
"
train_000127,"chất lượng sản phẩm tuyệt vời split đóng gói sản phẩm tốt split shop phục vụ tận tình
","0
"
train_000128,"vừa sắm em m905 thấy nói ngon nhưng mới xài nên chưa đánh giá đượccảm nhận quà đầm tay chọn điểm click chính xác wheel lăn 2 chế độ trơn và cà nhắc rất hay giá 1.699.TR mua của trần anh hà nội nôi
","0
"
train_000129,"ôi cái cấu hình đt mạnh kinh
","1
"
train_000130,"chất lượng sản phẩm rất kém nhìn hàng vừa nhận mà chỉ muốn vứt đi như hàng dùng rồi mà vẫn còn ship được cho khách làm ăn thất đức
","1
"
train_000131,"sơn rất đẹp thơm mùi trái cây
","0
"
train_000132,"đóng gói sản phẩm rất kém split bánh tráng như bị ỉu và nghe mùi chưa split đề nghị bồi thường lại cho bên em
","1
"
train_000133,"đóng gói sản phẩm rất đẹp và chắc chắn quà tặng kèm siêu dễ thương ah sẽ còn mua lại
","0
"
train_000134,"váy nhỏ sao với kích thước bé nhà mình 19kg đã chọn size lớn nhất nhưng vẫn hok vừa hic
","1
"
train_000135,"bình thường mang 38 vừa mà giờ mua 38 mạng rộng như 40 vậy chất liệu không êm
","1
"
train_000136,"đóng gói sản phẩm rất đẹp và chắc chắn shop phục vụ rất tốt chất lượng sản phẩm tuyệt vời lần sau mình sẽ ủng hộ tiếp
","0
"
train_000137,"tuyệt vời ông mặt trời
","0
"
train_000138,"sản phẩm giống hình giao hàng nhanh chất lượng thì chưa biết
","0
"
train_000139,"giày giống hình nhưng đặt mua màu xám lại giao màu đỏ không hài lòng
","1
"
train_000140,"giao hàng không có hai miếng hít chỉ có cái giá nhựa không biết phải làm sao
","1
"
train_000141,"chất lượng sp kém shop phục vụ không nhiệt tình split hàng lỗi shop không cho đổi split vậy cũng nói bảo hành
","1
"
train_000142,"mưa hồng ship đến
","1
"
train_000143,"khung viền kim loại thì máy chắc chắn hơn rồi mà có hỗ trợ cả 4g thì cập nhật kịp thời rồi
","0
"
train_000144,"phát sóng mạnh và xa đáng mua
","0
"
train_000145,"chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn son lên màu chuẩn chất son mịn mượt không khô môi rất ưng sẽ ủng hộ shop lần sau
","0
"
train_000146,"đóng gói mã cẩn thận chất lượng khỏi bàn
","0
"
train_000147,"máy dỏm nâng giá cao lên rồi hạ giá khuyến mãi rất thất vọng
","1
"
train_000148,"rất thơm mùi dịu ngọt dễ chịu split chị chủ shop dễ thương tư vấn nhiệt tình
","0
"
train_000149,"mình mua bộ này trong đợt sale 99k của tiki hàng giao chậm vì bị cháy hàng thì không sao nhưng chất lượng sp thì khác hoàn toàn so với các lần mình mua trước đó ở siêu thị dầu gội thì lỏng và không thơm như bình thường hay dùng dầu xả thì có mùi kì lạ chưa chữa gì đó xộc lên mỗi lần lấy ra dùngnói chung là cảm giác như không phải chính hãng vậy đó
","1
"
train_000150,"áo đẹp lông mịn nói chung là rất ưng ý và rất đáng tiền
","0
"
train_000151,"ở ngọn
","1
"
train_000152,"không như qc giờ mới lắp kêu rất bé được đổi lại thì tốt
","1
"
train_000153,"giày chất rất ổn giao hàng hơi lâu chút đóng gói sản phẩm rất đẹp và chắc chắn rất đáng tiền
","0
"
train_000154,"sản phẩm khác so với hình mauquan din đầu nhotvai móng
","1
"
train_000155,"đã mua chưa bít kq ra sao tuy nhiên không có ghi shopee ở ngoài bên trong ok thanks split thời gian giao hàng rất nhanh
","0
"
train_000156,"shop giao hàng nhanh son màu cam sáng nên chất hơi bột lên màu chuẩn và có màu bám lại sau khi chùi
","0
"
train_000157,"cảm ơn shop giao hàng rất nhanh trong 2 gói thì m thích gói khô gà lá chanh hơn khô và thơm sẽ ủng hộ shop thêm đóng gói sản phẩm rất đẹp và chắc chắn
","0
"
train_000158,"cái này được đấy mình thích đồ chính hãng
","0
"
train_000159,"đồng hồ sai được
","0
"
train_000160,"đặt trong ảnh là lọ thủy tinh không thấy thương hiệu hay nhãn mác nhưng giao là lọ nhựa hiệu hơi lạ nhưng không sao viên nghệ ăn dễ ngọt nghe mùi mật ong đúng không chắc là hiệu quả vì chỉ mới sử dụng vài viên nhưng nếu có hiệu quả lần tới sẽ mua tiếp
","0
"
train_000161,"kêu tặng 7 bịch bánh tráng nhưng chỉ đưa 4 cục kẹo milo
","1
"
train_000162,"chất lượng sản phẩm tuyệt vời0k
","0
"
train_000163,"chất lượng tốt
","0
"
train_000164,"đóng gói sản phẩm rất đẹp và chắc chắn shop phục vụ rất tốt rất đáng tiền rất đáng tiền thời gian giao hàng rất nhanh thời gian giao hàng rất nhanh rất đáng tiền shop phục vụ rất tốt shop phục vụ rất tốt rất đáng tiền chất lượng sản phẩm tuyệt vời
","0
"
train_000165,"chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn khá ok
","0
"
train_000166,"mk mua sz 41 mà giao nhầm sz rộng không đi được
","1
"
train_000167,"chất lượng sản phẩm tốt đóng gói sản phẩm cẩn thận
","0
"
train_000168,"túi chắc chắn gói hàng cẩn thận chu đáo
","0
"
train_000169,"thời gian giao hàng rất nhanh có 2 áo trùng kiểu
","0
"
train_000170,"sản phẩm mẫu mã đẹp split chất lượng sản phẩm thì chưa đánh giá được vì chưa trải qua sử dụng split shop phục vụ rất tốt rất nhiệt tình split thời gian giao hàng cũng khá nhanh 3 ngày đã nhận hàng split đã check không biết có phải chính hãng hay không ae xem hình mình update kèm hihi split thanks shop lần sau ủng hộ nữa
","0
"
train_000171,"chất lượng sản phẩm tuyệt vời đẹp dùng ổn
","0
"
train_000172,"rất đáng tiền thời gian giao hàng rất nhanh đóng gói sản phẩm rất đẹp và chắc chắn shop phục vụ rất tốt
","0
"
train_000173,"hàng đẹp tuyệt vời như hình mình ở xa mua cũng sợ nhưng shop gửi hàng đẹp không lỗi giày không nhăn nheo rất hài lòng sẽ ủng hộ shop dài dài ạ
","0
"
train_000174,"17cu thì mua lg v10 vừa đẹp mà còn dư tiền
","1
"
train_000175,"đóng gói sản phẩm rất đẹp và chắc chắn shop phục vụ rất tốt rất đáng tiền thời gian giao hàng rất nhanh giày đẹp y hình shop đăng
","0
"
train_000176,"size 3xl mà 62kg mặc vừa shop gọi điện thoại tư vấn nhiệt tình và chu đáo nhưng sản phẩm không giống như mô tả sản phẩm vải đẹp nhưng đường chỉ máy vắt sổ còn thừa quá nhiều chỉ
","1
"
train_000177,"không hài lòng đã nhắn shop là gửi đồng hồ mặt nhỏ rồi lại gửi mặt lớn to đeo không đẹp mà mua 3 cái rồi đó
","1
"
train_000178,"chuẩn hàng lắm mn ạhh lên tone nhiều không hề lộ vân gì cả nên đố ai biếttt không dính quần áo mình xịt lên quần áo đen cũg không dính
","0
"
train_000179,"shop gói hàng xinh xắn cẩn thận đàn nhỏ xinh và âm nghe cũng hay mình rất hài lòng
","0
"
train_000180,"bộ khung khó sài lên hình méo mó không đẹp
","1
"
train_000181,"đèn leb shop gửi câu lộn dây gắn vào xe không sáng đèn cần lưu ý hàn cho đúng cực âm dương
","1
"
train_000182,"giống hình quảng cáo đáng tiền
","0
"
train_000183,"rất đáng tiền đẹp và y như hình shop phục vụ rất tốt
","0
"
train_000184,"hàng chất lượng tốt giao hàng nhanh chóng shop uy tín
","0
"
train_000185,"hàng không thật như hình ảnh hàng gửi là hàng phek không đúng hàng như shop nói
","1
"
train_000186,"dầu rất thơm bỏ vào máy phun sương khuếch tán thơm cả phòng luôn cảm ơn shop đã đem đến một sản phẩm thiết thực
","0
"
train_000187,"giao hàng nhanh sản phẩm đẹp lắm i hình luôn
","0
"
train_000188,"gương hơi mờshop không rep tn split thật sự thất vọng split vẽ lem loãng split ai mua hàng đừng dựa vào lượng feedback mà mua như mình split
","1
"
train_000189,"xui xui trúng cây không có miếng lót không xài được
","1
"
train_000190,"mình nhập đúng tên và mật khẩu nhưng không vào được
","1
"
train_000191,"chất lượng sản phẩm tuyệt vời split đóng gói sản phẩm rất đẹp và chắc chắn split đóng gói sản phẩm rất đẹp và chắc chắn
","0
"
train_000192,"xấu wá
","1
"
train_000193,"chưa xài chưa biết sao
","0
"
train_000194,"đóng gói sản phẩm rất đẹp và chắc chắn thời gian giao hàng rất nhanh chất vải hơi mỏng dày thêm tí nữa thì đẹp
","0
"
train_000195,"led sáng ngon chất lượng sản phẩm tuyệt vời
","0
"
train_000196,"nói là tích điện nhưng sạc điện không vôtheo mình các bạn không nên mua sản phẩm này mua về tốn tiền mà không sử dụng đượcbán hàng không có tâm chất lượng sản phẩm rất kém
","1
"
train_000197,"mua phí cả tiền cầu quá kém
","0
"
train_000198,"đóg gói không đẹp
","0
"
train_000199,"giao hàg vậy mà cũg lộn sai nửa đặt sai 31 ma giáo sai 28 à
","1
"
train_000200,"ngon giòn đáng tiền nhưng tiền ship hơi cao
","0
"
train_000201,"hàng rất tốt giao hàng rất nhanh và gói hàng rất cẩn thận split cảm ơn shop vì cái giắc được
","0
"
train_000202,"chất lượng sản phẩm rất kém mùi nhựa rất hôi độc hại nên không dám cho con ngồi giờ vứt xó mua phí tiền
","1
"
train_000203,"đang định lên con aiphone 7 mà nghe quảng cáo thiếu nhiều thứ quá chắc không mưa tưởng dùng camera kép tưởng dùng dual pixel tưởng dùng flash kép tưởng bỏ home vậy lý tưởng nhiều thứ nữa vậy mà giá trên trời hjc hjc
","1
"
train_000204,"giày phù hợp giá tiền
","0
"
train_000205,"đóng gói sản phẩm rất đẹp và chắc chắn rất đáng tiền
","0
"
train_000206,"mới dùng mấy hôm rất tốt về lâu dài thì chờ xem trước mắt hàng chất lượng giá rẻ
","0
"
train_000207,"đẹp mà đường nét tinh tế lắm
","0
"
train_000208,"mọi người nên mua lạp xưởng tươi của shop đi nha rất là ngonvà không bị ngán nữa trên cả sự mong đợi của mình đóng gói sản phẩm rất đẹp và chắc chắn shop phục vụ rất tốt rất đáng tiền thời gian giao hàng rất nhanh
","0
"
train_000209,"rất đáng tiền chất lượng sản phẩm tuyệt vời thank shop
","0
"
train_000210,"sản phẩm ok
","0
"
train_000211,"giày làm chất liệu gì mà hôi quá
","1
"
train_000212,"tôi xài m7 từ lúc mới ra tới giờ không có lý do gì để đổi máy khác phần cứng và phần mềm rất tuyệt vời tôi vô tình làm rớt từ độ cao hơn 1 m không dưới 10 lần mà giờ sử dụng vẫn ok ngoài cái võ bị xước
","0
"
train_000213,"sản phẩm đẹp đóng gói chắc chắn nhưng không có pin dự phòng
","0
"
train_000214,"kém chất lượngmua phí tiền
","1
"
train_000215,"đẹp lắm shop ơi split
","0
"
train_000216,"đúng sản phẩm lắp tháo dễ dàng giao nhanh
","0
"
train_000217,"đã bỏ thích theo dõi fanpage của tiki gỡ app tiki vì lúc nào phải thấy bản mặt lờ của chi pu
","1
"
train_000218,"chất lượng sản phẩm tuyệt vời đồng hồ cứ bị đẹp quá rồi lại phải mua thêm 2 cái nữa
","0
"
train_000219,"chất lượng sản phẩm tuyệt vời mỗi tội đơn vị vận chuyển chậm quá 5 ngày mới nhận được
","0
"
train_000220,"giấy quá mỏng đọc khá là đau đầu tên riêng dịch ra tiếng việt đọc hơi mình thấy mọi người khen nhiều nên mới mua thế mà thất vọng quá
","1
"
train_000221,"khá là ưng split với giá này mua được đôi ntn là quá tuyệt rồi
","0
"
train_000222,"nội dung mình không bàn nữa vì sách mình mua tặng bạn thôi chứ cũng chưa đọc bao giờ nhưng mình bực kinh khủng vì sách quá bẩn luôn chưa bao giờ mình bực tiki như vậy luôn ấy mong là không gặp đợt hàng nào như vậy nữa
","1
"
train_000223,"rất đáng tiền cảm ơn sộp nhiều nhà hàng ok lắm hàng dùng được em sẽ ủng hộ sốp lâu dài
","0
"
train_000224,"đóng gói sản phẩm rất đẹp và chắc chắn split số đúng chỉ để vào mạng chứ không dùng để nghe gọi
","0
"
train_000225,"bạn cùng phòng mua shoppe có 260k mình mua 440k mà chất liệu không bằng mới móc có mấy bộ áo dài đã gãy tưởng tiki bán hàng uy tín nên chấp nhận mua giá cao hơn nhưng quá thất vọng không bao giờ mua và giới thiệu tiki nữa
","1
"
